02	Neoplasms
                2E64.0Y	Other specified intraepidermal squamous cell carcinoma
                2E64.0Z	Intraepidermal squamous cell carcinoma, unspecified
            2E64.1	Extramammary Paget disease of skin
            2E64.2	Carcinoma in situ of anal margin or perianal skin
            2E64.Y	Other specified carcinoma in situ of skin
            2E64.Z	Carcinoma in situ of skin, unspecified
        2E65	Carcinoma in situ of breast
            2E65.0	Lobular carcinoma in situ of breast
            2E65.1	Lobular carcinoma in situ of breast, pleomorphic subtype
            2E65.2	Ductal carcinoma in situ of breast
            2E65.3	Ductal carcinoma in situ of breast, comedo subtype
            2E65.4	Mixed ductal and lobular carcinoma in situ of breast
            2E65.5	Paget disease of nipple
            2E65.Y	Other specified carcinoma in situ of breast
            2E65.Z	Carcinoma in situ of breast, unspecified
        2E66	Carcinoma in situ of cervix uteri
            2E66.2	High grade squamous intraepithelial lesion of cervix uteri
            2E66.Y	Other specified carcinoma in situ of cervix uteri
            2E66.Z	Carcinoma in situ of cervix uteri, unspecified
        2E67	Carcinoma in situ of other or unspecified genital organs
            2E67.0	Carcinoma in situ of endometrium
            2E67.1	Carcinoma in situ of vulva
                2E67.11	Vulvar Paget disease
                2E67.12	Vulvar intraepithelial neoplasia, HPV-independent
                2E67.13	High grade squamous intraepithelial lesion of vulva, HPV-associated
            2E67.2	Carcinoma in situ of vagina
                2E67.22	High grade squamous intraepithelial lesion of vagina
                2E67.2Y	Other specified carcinoma in situ of vagina
                2E67.2Z	Carcinoma in situ of vagina, unspecified
            2E67.3	Carcinoma in situ of other or unspecified female genital organs
            2E67.4	Carcinoma in situ of penis
                2E67.40	Squamous cell carcinoma in situ of skin of penis
                2E67.41	Squamous cell carcinoma in situ of mucocutaneous epithelium of penis
            2E67.5	High grade intraepithelial lesion of prostate
            2E67.6	Carcinoma in situ of other or unspecified male genital organs
        2E68	Carcinoma in situ of bladder
        2E69	Carcinoma in situ of other or unspecified urinary organs
        2E6A	Carcinoma in situ of the eye or ocular adnexa
            2E6A.0	Carcinoma in situ of the conjunctiva
            2E6A.1	Carcinoma in situ of the cornea
            2E6A.Y	Carcinoma in situ of other and unspecified part of the eye and adnexa
        2E6B	Carcinoma in situ of thyroid and other endocrine glands
        2E6Y	Carcinoma in situ of other specified site
        2E6Z	Carcinoma in situ of unspecified site
    	Benign neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues
        	Benign mesenchymal neoplasms
            2E80	Benign lipomatous neoplasm
                2E80.0	Lipoma
                    2E80.00	Superficial subcutaneous lipoma
                    2E80.01	Deep subfascial lipoma
                    2E80.02	Deep internal or visceral lipoma
                    2E80.0Y	Lipoma, other specified site
                    2E80.0Z	Lipoma, unspecified site
                2E80.1	Lipoblastoma
                2E80.Y	Other specified benign lipomatous neoplasm
                2E80.Z	Benign lipomatous neoplasm, unspecified
            2E81	Benign vascular neoplasms
                2E81.0	Neoplastic haemangioma
                    2E81.00	Umbilical cord haemangioma
                    2E81.01	Conjunctival haemangioma or haemolymphangioma
                    2E81.0Y	Neoplastic haemangioma of other specified site
                    2E81.0Z	Neoplastic haemangioma, unspecified site
                2E81.1	Benign lymphatic neoplasms
                    2E81.10	Disseminated lymphangiomatosis
                    2E81.11	Acquired progressive lymphangioma
                    2E81.1Y	Other specified benign lymphatic neoplasms
                    2E81.1Z	Benign lymphatic neoplasms, unspecified
                2E81.2	Benign vascular neoplasms of infancy and childhood
                    2E81.20	Focal infantile haemangioma
                    2E81.21	Multifocal infantile haemangioma
                    2E81.2Y	Other specified benign vascular neoplasms of infancy and childhood
                    2E81.2Z	Benign vascular neoplasms of infancy and childhood, unspecified
                2E81.Y	Other specified benign vascular neoplasms
                2E81.Z	Benign vascular neoplasms, unspecified
            2E82	Benign chondrogenic tumours
                2E82.0	Benign chondrogenic tumours of bone or articular cartilage of limbs
                2E82.1	Benign chondrogenic tumours of bone or articular cartilage of other specified sites
                2E82.Z	Benign chondrogenic tumours, site unspecified
            2E83	Benign osteogenic tumours
                2E83.0	Benign osteogenic tumours of bone or articular cartilage of skull or face
                2E83.1	Benign osteogenic tumours of bone or articular cartilage of lower jaw
                2E83.2	Benign osteogenic tumours of bone or articular cartilage of vertebral column
                2E83.3	Benign osteogenic tumours of bone or articular cartilage of ribs, sternum or clavicle
                2E83.4	Benign osteogenic tumours of bone or articular cartilage of pelvic bones, sacrum or coccyx
                2E83.5	Benign osteogenic tumours of bone or articular cartilage of limbs
                2E83.Y	Benign osteogenic tumour of other specified site
                2E83.Z	Benign osteogenic tumour of unspecified site
            2E84	Benign fibrogenic or myofibrogenic tumour
                2E84.0	Benign fibrogenic or myofibrogenic tumour of skin
                2E84.Y	Benign fibrogenic or myofibrogenic tumour of other specified sites
                2E84.Z	Benign fibrogenic or myofibrogenic tumour, site unknown
            2E85	Benign fibrohistiocytic tumour
                2E85.0	Benign fibrohistiocytic tumour of soft tissues of limbs
                2E85.1	Benign fibrohistiocytic tumour of retroperitoneum or peritoneum
                2E85.2	Benign fibrohistiocytic tumour of skin
                2E85.Y	Benign fibrohistiocytic tumour of other specified sites
                2E85.Z	Benign fibrohistiocytic tumour, site unspecified
            2E86	Benign smooth muscle or skeletal muscle tumour
                2E86.0	Leiomyoma of uterus
                2E86.1	Leiomyoma of other or unspecified sites
                2E86.2	Rhabdomyoma
                2E86.Y	Other specified benign smooth muscle or skeletal muscle tumour
                2E86.Z	Benign smooth muscle or skeletal muscle tumour, unspecified
            2E87	Benign gastrointestinal stromal tumour
            2E88	Benign endometrial stromal nodule
            2E89	Benign mesenchymal tumours of uncertain differentiation
                2E89.0	Benign tumours of uncertain differentiation, bone or cartilage
                2E89.1	Benign tumours of uncertain differentiation, soft tissue
                2E89.Y	Benign mesenchymal tumours of uncertain differentiation of other specified site
                2E89.Z	Benign mesenchymal tumours of uncertain differentiation of unspecified site
            2E8A	Other mixed or unspecified benign mesenchymal tumours
            2E8Y	Other specified benign mesenchymal neoplasm
            2E8Z	Benign mesenchymal neoplasms, unspecified
        	Benign non-mesenchymal neoplasms
            2E90	Benign neoplasm of lip, oral cavity or pharynx
                2E90.0	Benign neoplasm of lip
                2E90.1	Benign neoplasm of tongue
                2E90.2	Benign neoplasm of floor of mouth
                2E90.3	Benign neoplasm of other or unspecified parts of mouth
                2E90.4	Benign neoplasm of tonsil
                2E90.5	Benign neoplasm of oropharynx
                2E90.6	Benign neoplasm of nasopharynx
                2E90.7	Benign neoplasm of hypopharynx
                2E90.8	Benign neoplasm of pharynx, unspecified
            2E91	Benign neoplasm of major salivary glands
                2E91.0	Benign neoplasm of parotid gland
                2E91.1	Benign neoplasm of other specified major salivary glands
                2E91.Z	Benign neoplasm of unspecified major salivary glands
            2E92	Benign neoplasm of digestive organs
                2E92.0	Benign neoplasm of oesophagus
                2E92.1	Benign neoplasm of stomach
                2E92.2	Benign neoplasm of duodenum
                2E92.3	Benign neoplasm of other or unspecified parts of small intestine
                2E92.4	Benign neoplasm of the large intestine
                    2E92.40	Polyposis syndrome
                    2E92.4Y	Other specified benign neoplasm of the large intestine
                    2E92.4Z	Benign neoplasm of the large intestine, unspecified
                2E92.5	Benign neoplasm of anus or anal canal
                2E92.6	Benign neoplasm of gallbladder, extrahepatic bile ducts or ampulla of Vater
                2E92.7	Benign neoplasm of liver or intrahepatic bile ducts
                2E92.8	Benign neoplasm of pancreas
                2E92.9	Benign neoplasm of endocrine pancreas
                2E92.Y	Benign neoplasm of other specified digestive organs
                2E92.Z	Benign neoplasm of unspecified digestive organs
            	Benign neoplasm of respiratory or intrathoracic organs
                2F00	Benign neoplasm of middle ear or respiratory system
                    2F00.0	Middle ear endocrine tumour
                    2F00.1	Recurrent respiratory papillomatosis
                    2F00.2	Laryngeal endocrine tumour
                    2F00.Y	Other specified benign neoplasm of middle ear or respiratory system
                    2F00.Z	Benign neoplasm of middle ear or respiratory system, unspecified
                2F01	Benign neoplasm of intrathoracic organs
                2F0Y	Benign neoplasms of other specified respiratory and intrathoracic organs
                2F0Z	Benign neoplasms of unspecified respiratory and intrathoracic organs
            2F10	Benign neoplasm of mesothelial tissue
            	Benign cutaneous neoplasms
                2F20	Benign cutaneous melanocytic neoplasms
                    2F20.0	Common acquired melanocytic naevus
                        2F20.00	Multiple benign melanocytic naevi
                        2F20.0Y	Other specified common acquired melanocytic naevus
                        2F20.0Z	Common acquired melanocytic naevus, unspecified
                    2F20.1	Atypical melanocytic naevus
                    2F20.2	Congenital melanocytic naevus
                        2F20.20	Giant congenital melanocytic naevus
                        2F20.2Y	Other specified congenital melanocytic naevus
                        2F20.2Z	Congenital melanocytic naevus, unspecified
                    2F20.3	Generalised eruptive melanocytic naevi
                    2F20.Y	Other specific types of melanocytic naevus
                    2F20.Z	Melanocytic naevus, unspecified
                2F21	Benign keratinocytic acanthomas
                    2F21.0	Seborrhoeic keratosis
                    2F21.Y	Other specified benign keratinocytic acanthomas
                2F22	Benign neoplasms of epidermal appendages
                2F23	Benign dermal fibrous or fibrohistiocytic neoplasms
                    2F23.0	Dermatofibroma
                    2F23.Y	Other specified benign dermal fibrous or fibrohistiocytic neoplasms
                2F24	Benign cutaneous neoplasms of neural or nerve sheath origin
                2F25	Cherry angioma
                2F26	Lobular capillary haemangioma
                2F2Y	Other specified benign cutaneous neoplasms
                2F2Z	Benign cutaneous neoplasm of unspecified type
            2F30	Benign neoplasm of breast
                2F30.0	Tubular adenoma of breast
                2F30.1	Lactating adenoma of breast
                2F30.2	Intraductal papilloma of breast
                2F30.3	Benign phyllodes tumour of breast
                2F30.4	Fibromatosis of breast
                2F30.5	Fibroadenoma of breast
                2F30.6	Extensive adenomatosis of nipple
                2F30.Y	Other specified benign neoplasm of breast
                2F30.Z	Benign neoplasm of breast, unspecified
            2F31	Benign non-mesenchymal neoplasms of uterus
                2F31.0	Benign non-mesenchymal neoplasm of uterus, cervix uteri
                2F31.1	Benign non-mesenchymal neoplasm of uterus, corpus uteri
                2F31.2	Benign non-mesenchymal neoplasms of uterus, other parts
            2F32	Benign neoplasm of ovary
                2F32.0	Cystic teratoma
                2F32.1	Ovarian fibroma
                2F32.2	Meigs' syndrome
                2F32.3	Serous ovarian cystadenoma
                2F32.Y	Other specified benign neoplasm of ovary
                2F32.Z	Benign neoplasm of ovary, unspecified
            2F33	Benign neoplasm of other or unspecified female genital organs
            2F34	Benign neoplasm of male genital organs
            2F35	Benign neoplasm of urinary organs
            2F36	Benign neoplasm of eye or ocular adnexa
                2F36.0	Benign neoplasm of choroid
                2F36.1	Benign neoplasm of iris
                2F36.2	Benign neoplasm of ciliary body
                2F36.3	Teratoma of orbit
                2F36.4	Cysts of eyelid
                2F36.Y	Other specified benign neoplasm of eye or ocular adnexa
                2F36.Z	Benign neoplasm of eye or ocular adnexa, unspecified
            2F37	Benign neoplasm of endocrine glands
                2F37.0	Non-secreting pituitary adenoma
                2F37.Y	Other specified benign neoplasm of endocrine glands
                2F37.Z	Benign neoplasm of endocrine glands, unspecified
            2F3Y	Benign non-mesenchymal neoplasms of other specified site
            2F3Z	Benign non-mesenchymal neoplasms of unspecified site
        2F5Y	Other specified benign neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues
        2F5Z	Benign neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues, unspecified
    	Neoplasms of uncertain behaviour, except of lymphoid, haematopoietic, central nervous system or related tissues
        2F70	Neoplasms of uncertain behaviour of oral cavity or digestive organs
            2F70.0	Neoplasms of uncertain behaviour of lip, oral cavity or pharynx
            2F70.1	Neoplasms of uncertain behaviour of stomach
            2F70.2	Neoplasms of uncertain behaviour of small intestine
            2F70.3	Neoplasms of uncertain behaviour of colon
            2F70.4	Neoplasms of uncertain behaviour of rectum
            2F70.5	Neoplasms of uncertain behaviour of liver, gallbladder or bile ducts
            2F70.Y	Neoplasms of uncertain behaviour of oral cavity and digestive organs, other specified site
            2F70.Z	Neoplasms of uncertain behaviour of oral cavity and digestive organs, unspecified site
        2F71	Neoplasms of uncertain behaviour of middle ear, respiratory or intrathoracic organs
            2F71.0	Neoplasms of uncertain behaviour of thymus
            2F71.1	Neoplasms of uncertain behaviour of larynx
            2F71.2	Neoplasms of uncertain behaviour of pleura
            2F71.3	Neoplasms of uncertain behaviour of trachea, bronchus or lung
            2F71.4	Neoplasms of uncertain behaviour of mediastinum
            2F71.Y	Neoplasms of uncertain behaviour of middle ear, respiratory and intrathoracic organs, other specified site
            2F71.Z	Neoplasms of uncertain behaviour of middle ear, respiratory and intrathoracic organs, unspecified site
        2F72	Neoplasms of uncertain behaviour of skin
            2F72.1	Spitzoid tumour of uncertain malignant potential
            2F72.2	Melanocytic naevus with severe melanocytic dysplasia
            2F72.Y	Other specified neoplasms of uncertain behaviour of skin
        2F73	Neoplasms of uncertain behaviour of retroperitoneum
        2F74	Neoplasms of uncertain behaviour of peritoneum
        2F75	Neoplasms of uncertain behaviour of breast
        2F76	Neoplasms of uncertain behaviour of female genital organs
        2F77	Neoplasms of uncertain behaviour of male genital organs
        2F78	Neoplasms of uncertain behaviour of urinary organs
        2F79	Neoplasms of uncertain behaviour of eye or ocular adnexa
        2F7A	Neoplasms of uncertain behaviour of endocrine glands
            2F7A.0	Multiple polyglandular tumours
            2F7A.Y	Other specified neoplasms of uncertain behaviour of endocrine glands
            2F7A.Z	Neoplasms of uncertain behaviour of endocrine glands, unspecified
        2F7B	Neoplasms of uncertain behaviour of bone or articular cartilage
        2F7C	Neoplasms of uncertain behaviour of connective or other soft tissue
        2F7Y	Neoplasms of uncertain behaviour of other specified site
        2F7Z	Neoplasms of uncertain behaviour of unspecified site
    	Neoplasms of unknown behaviour, except of lymphoid, haematopoietic, central nervous system or related tissues
        2F90	Neoplasms of unknown behaviour of oral cavity or digestive organs
            2F90.0	Neoplasms of unknown behaviour of colon
            2F90.1	Neoplasms of unknown behaviour of rectum
            2F90.Y	Neoplasms of unknown behaviour of oral cavity and digestive organs, other specified site
            2F90.Z	Neoplasms of unknown behaviour of oral cavity and digestive organs, unspecified site
        2F91	Neoplasms of unknown behaviour of middle ear, respiratory or intrathoracic organs
            2F91.0	Neoplasms of unknown behaviour of larynx
            2F91.1	Neoplasms of unknown behaviour of trachea, bronchus or lung
            2F91.Y	Neoplasms of unknown behaviour of other specified respiratory organ, intrathoracic organ or middle ear
            2F91.Z	Neoplasms of unknown behaviour of unspecified respiratory organ or intrathoracic organ
        2F92	Neoplasms of unknown behaviour of skin
        2F93	Neoplasms of unknown behaviour of retroperitoneum
        2F94	Neoplasms of unknown behaviour of peritoneum
        2F95	Neoplasms of unknown behaviour of breast
        2F96	Neoplasms of unknown behaviour of female genital organs
        2F97	Neoplasms of unknown behaviour of male genital organs
        2F98	Neoplasms of unknown behaviour of urinary organs
        2F99	Neoplasms of unknown behaviour of eye or ocular adnexa
        2F9A	Neoplasms of unknown behaviour of endocrine glands
        2F9B	Neoplasms of unknown behaviour of bone or articular cartilage
        2F9C	Neoplasms of unknown behaviour of connective or other soft tissue
        2F9Y	Neoplasms of unknown behaviour of other specified site
        2F9Z	Neoplasms of unknown behaviour of unspecified site
    	Inherited cancer-predisposing syndromes
